"","Team_A","TeamID","Season.x","PPG_A","FGP_A","TPP_A","FTP_A","ORPG_A","DRPG_A","APG_A","TOPG_A","SPG_A","BPG_A","PFPG_A","PCT_A","Team_Name_A","Conf_A","Opp_A","MOV_A","SOS_A","OSRS_A","DSRS_A","SRS_A","Seed_A","Season.y_B","PPG_B","FGP_B","TPP_B","FTP_B","ORPG_B","DRPG_B","APG_B","TOPG_B","SPG_B","BPG_B","PFPG_B","PCT_B","Team_Name_B","Conf_B","Opp_B","MOV_B","SOS_B","OSRS_B","DSRS_B","SRS_B","Seed_B"
"1",1437,1458,2017,77.676471,0.497006,0.37037,0.793529,8.558824,24.794118,14.294118,11.205882,7.235294,3.088235,14.205882,0.911765,"Villanova","Big East",62.7,14.53,9.28,9.2,14.61,23.8,"1",2017,72.424242,0.453549,0.35452,0.642628,12.30303,25.181818,13.636364,10.848485,6.969697,3.575758,15.818182,0.735294,"Wisconsin","Big Ten",62.4,10,9.4,3.85,15.56,19.4,"8"
"2",1437,1438,2017,77.676471,0.497006,0.37037,0.793529,8.558824,24.794118,14.294118,11.205882,7.235294,3.088235,14.205882,0.911765,"Villanova","Big East",62.7,14.53,9.28,9.2,14.61,23.8,"1",2017,66.59375,0.464182,0.392982,0.708145,8.8125,24.125,14.25,9.53125,5.65625,4.0625,16.25,0.6875,"Virginia","ACC",56.4,9.71,10.93,-1.49,22.12,20.63,"5"
"3",1437,1196,2017,77.676471,0.497006,0.37037,0.793529,8.558824,24.794118,14.294118,11.205882,7.235294,3.088235,14.205882,0.911765,"Villanova","Big East",62.7,14.53,9.28,9.2,14.61,23.8,"1",2017,78.28125,0.449551,0.362044,0.72644,11.5625,25.78125,12.625,11.8125,7.5625,4.84375,18.59375,0.75,"Florida","SEC",66.5,11.39,11.01,11.36,11.04,22.4,"4"
"4",1437,1425,2017,77.676471,0.497006,0.37037,0.793529,8.558824,24.794118,14.294118,11.205882,7.235294,3.088235,14.205882,0.911765,"Villanova","Big East",62.7,14.53,9.28,9.2,14.61,23.8,"1",2017,78.69697,0.453718,0.363254,0.73913,10.787879,25.30303,15.30303,11.151515,7.242424,5.424242,15.909091,0.727273,"Southern California","Pac-12",73.1,5.08,6.4,8.07,3.41,11.48,"11"
"5",1437,1124,2017,77.676471,0.497006,0.37037,0.793529,8.558824,24.794118,14.294118,11.205882,7.235294,3.088235,14.205882,0.911765,"Villanova","Big East",62.7,14.53,9.28,9.2,14.61,23.8,"1",2017,71.612903,0.466706,0.353448,0.711604,12.677419,24.935484,15.483871,13.419355,5.129032,4.870968,17.677419,0.774194,"Baylor","Big 12",63.7,9.2,11.87,4.89,14.86,19.75,"3"
"6",1437,1376,2017,77.676471,0.497006,0.37037,0.793529,8.558824,24.794118,14.294118,11.205882,7.235294,3.088235,14.205882,0.911765,"Villanova","Big East",62.7,14.53,9.28,9.2,14.61,23.8,"1",2017,71.483871,0.410705,0.333874,0.691257,12.516129,23.483871,12.419355,13.419355,7.903226,3.677419,20.935484,0.677419,"South Carolina","SEC",65.2,7.92,10.16,5.2,12.32,17.52,"7"
"7",1437,1181,2017,77.676471,0.497006,0.37037,0.793529,8.558824,24.794118,14.294118,11.205882,7.235294,3.088235,14.205882,0.911765,"Villanova","Big East",62.7,14.53,9.28,9.2,14.61,23.8,"1",2017,80.657143,0.476847,0.375979,0.758228,10.457143,25.857143,13.085714,11.285714,5.914286,4.485714,18.057143,0.771429,"Duke","ACC",70.2,10.65,10.91,13.15,8.41,21.56,"2"
"8",1437,1211,2017,77.676471,0.497006,0.37037,0.793529,8.558824,24.794118,14.294118,11.205882,7.235294,3.088235,14.205882,0.911765,"Villanova","Big East",62.7,14.53,9.28,9.2,14.61,23.8,"1",2017,84.575758,0.517829,0.381933,0.737838,9.363636,30.939394,16.030303,11.30303,7.151515,4.454545,16.454545,0.969697,"Gonzaga","WCC",61.5,21.13,4.13,12.79,12.47,25.26,"1"
"9",1437,1321,2017,77.676471,0.497006,0.37037,0.793529,8.558824,24.794118,14.294118,11.205882,7.235294,3.088235,14.205882,0.911765,"Villanova","Big East",62.7,14.53,9.28,9.2,14.61,23.8,"1",2017,71.272727,0.435442,0.344477,0.752094,10.818182,25.454545,15.242424,10.606061,5.121212,5.121212,19.030303,0.69697,"Northwestern","Big Ten",65.5,5.58,8.43,2.9,11.12,14.02,"8"
"10",1437,1323,2017,77.676471,0.497006,0.37037,0.793529,8.558824,24.794118,14.294118,11.205882,7.235294,3.088235,14.205882,0.911765,"Villanova","Big East",62.7,14.53,9.28,9.2,14.61,23.8,"1",2017,78,0.460895,0.385542,0.799302,9.323529,24.441176,16,9.441176,7.176471,3.764706,14.852941,0.735294,"Notre Dame","ACC",69.3,8.03,9.78,10,7.81,17.81,"5"
